account_id,account_number_masked,bank_name,branch_id,account_type,holder_person_id,opening_date,closing_date,account_status,kyc_status,city,risk_flag,source
ACC000001,XXXX64070001,SYNTH_COMMERCIAL_BANK,BR008,Current,P005940,2023-02-27,2025-03-14,Closed,Verified,Pune,false,SYNTH_FINANCE_DB
ACC000002,XXXX66930002,SYNTH_NATIONAL_BANK,BR002,Savings,P003280,2017-01-12,,Active,Verified,Pune,false,SYNTH_KYC_DB
ACC000003,XXXX24570003,SYNTH_REGIONAL_BANK,BR007,Business,P005258,2016-03-28,,Active,Restricted,Pune,true,SYNTH_FINANCE_DB
ACC000004,XXXX27330004,SYNTH_REGIONAL_BANK,BR007,Savings,P002881,2026-06-04,,Dormant,Verified,Pune,false,SYNTH_LEGACY_BANK
ACC000005,XXXX97500005,SYNTH_CITY_BANK,BR004,Savings,P003059,2018-01-29,2024-08-06,Closed,Verified,Pune,false,SYNTH_BANK_CORE
ACC000006,XXXX99090006,SYNTH_NATIONAL_BANK,BR002,Business,P001801,2021-03-27,,Active,Restricted,Pune,true,SYNTH_LEGACY_BANK
ACC000007,XXXX25260007,SYNTH_COOPERATIVE_BANK,BR005,Salary,P002057,2023-08-10,,Dormant,Verified,Pune,false,SYNTH_KYC_DB
ACC000008,XXXX98230008,SYNTH_COMMERCIAL_BANK,BR008,Business,P003401,2012-02-25,,Active,Verified,Pune,false,SYNTH_KYC_DB
ACC000009,XXXX65040009,SYNTH_CITY_BANK,BR004,Savings,P004689,2024-11-06,,Active,Verified,Pune,false,SYNTH_BANK_CORE
ACC000010,XXXX86190010,SYNTH_REGIONAL_BANK,BR007,Current,P000638,2013-10-07,,Active,Verified,Pune,false,SYNTH_LEGACY_BANK
ACC000011,XXXX21060011,SYNTH_STATE_BANK,BR001,Savings,P001186,2020-10-06,,Active,Verified,Pune,false,SYNTH_BANK_CORE
ACC000012,XXXX24550012,SYNTH_COMMERCIAL_BANK,BR008,Savings,P000173,2018-11-23,,Active,Verified,Pune,false,SYNTH_KYC_DB
ACC000013,XXXX36150013,SYNTH_STATE_BANK,BR001,Joint,P006770,2021-08-21,,Active,Verified,Pune,false,SYNTH_BANK_CORE
ACC000014,XXXX12590014,SYNTH_METRO_BANK,BR006,Current,P005839,2015-03-17,,Active,Pending,Pune,false,SYNTH_BANK_CORE
ACC000015,XXXX34370015,SYNTH_STATE_BANK,BR001,Current,P003259,2017-05-28,,Active,Verified,Pune,false,SYNTH_LEGACY_BANK
ACC000016,XXXX64940016,SYNTH_COOPERATIVE_BANK,BR005,Savings,P002454,2021-09-09,,Active,Expired,Pune,true,SYNTH_FINANCE_DB
ACC000017,XXXX30640017,SYNTH_COOPERATIVE_BANK,BR005,Business,P006062,2012-12-30,,Active,Restricted,Pune,true,SYNTH_FINANCE_DB
ACC000018,XXXX14580018,SYNTH_NATIONAL_BANK,BR002,Savings,P004764,2020-07-05,,Dormant,Verified,Pune,false,SYNTH_FINANCE_DB
ACC000019,XXXX53240019,SYNTH_CITY_BANK,BR004,Savings,P002434,2026-01-21,,Active,Verified,Pune,false,SYNTH_KYC_DB
ACC000020,XXXX40270020,SYNTH_COMMERCIAL_BANK,BR008,Savings,P005704,2017-08-02,,Active,Expired,Pune,true,SYNTH_BANK_CORE
ACC000021,XXXX35760021,SYNTH_NATIONAL_BANK,BR002,Salary,P000704,2018-03-15,,Dormant,Verified,Pune,false,SYNTH_KYC_DB
ACC000022,XXXX91030022,SYNTH_COOPERATIVE_BANK,BR005,Savings,P001213,2022-11-20,,Active,Verified,Pune,false,SYNTH_KYC_DB
ACC000023,XXXX90650023,SYNTH_CITY_BANK,BR004,Savings,P003506,2015-10-06,2019-07-08,Closed,Verified,Pune,false,SYNTH_LEGACY_BANK
ACC000024,XXXX45420024,SYNTH_NATIONAL_BANK,BR002,Savings,P002422,2026-03-25,,Active,Verified,Pune,false,SYNTH_FINANCE_DB
ACC000025,XXXX82100025,SYNTH_NATIONAL_BANK,BR002,Business,P006274,2012-09-03,,Frozen,Verified,Pune,true,SYNTH_FINANCE_DB
ACC000026,XXXX26910026,SYNTH_STATE_BANK,BR001,Savings,P001327,2023-03-06,,Frozen,Pending,Pune,true,SYNTH_FINANCE_DB
ACC000027,XXXX79360027,SYNTH_METRO_BANK,BR006,Savings,P004793,2021-02-08,,Active,Verified,Pune,false,SYNTH_LEGACY_BANK
ACC000028,XXXX29900028,SYNTH_NATIONAL_BANK,BR002,Current,P006052,2022-05-05,,Active,Verified,Pune,false,SYNTH_KYC_DB
ACC000029,XXXX71890029,SYNTH_REGIONAL_BANK,BR007,Savings,P001543,2023-12-19,,Active,Restricted,Pune,true,SYNTH_KYC_DB
ACC000030,XXXX65300030,SYNTH_COOPERATIVE_BANK,BR005,Savings,P006095,2025-04-13,,Active,Verified,Pune,false,SYNTH_FINANCE_DB
ACC000031,XXXX21550031,SYNTH_NATIONAL_BANK,BR002,Business,P003847,2018-12-21,,Active,Pending,Pune,false,SYNTH_FINANCE_DB
ACC000032,XXXX44510032,SYNTH_REGIONAL_BANK,BR007,Savings,P005323,2024-04-02,2025-06-17,Closed,Verified,Pune,false,SYNTH_FINANCE_DB
ACC000033,XXXX95250033,SYNTH_CITY_BANK,BR004,Savings,P001414,2022-03-12,,Active,Verified,Pune,false,SYNTH_BANK_CORE
ACC000034,XXXX65030034,SYNTH_REGIONAL_BANK,BR007,Business,P003507,2020-04-17,,Active,Verified,Pune,false,SYNTH_FINANCE_DB
ACC000035,XXXX80220035,SYNTH_UNION_BANK,BR003,Business,P002034,2022-02-26,,Active,Verified,Pune,false,SYNTH_LEGACY_BANK
ACC000036,XXXX18970036,SYNTH_REGIONAL_BANK,BR007,Business,P000992,2019-05-17,,Active,Expired,Pune,true,SYNTH_FINANCE_DB
ACC000037,XXXX19750037,SYNTH_COMMERCIAL_BANK,BR008,Savings,P004058,2017-06-26,,Active,Verified,Pune,false,SYNTH_LEGACY_BANK
ACC000038,XXXX15000038,SYNTH_CITY_BANK,BR004,Savings,P000353,2015-12-14,,Active,Verified,Pune,false,SYNTH_BANK_CORE
