mention_id,document_id,case_id,text_span,start_char,end_char,entity_type,extracted_value,resolved_entity_id,confidence,resolution_status
EM00000001,DOC000001,C000001,Akash V Kale,46,58,PERSON,Akash V Kale,P002378,0.99,RESOLVED
EM00000002,DOC000001,C000001,Komal R Naik,163,175,PERSON,Komal R Naik,P002189,0.99,RESOLVED
EM00000003,DOC000001,C000001,MH12FM4689,259,269,VEHICLE,MH12FM4689,,0.0,UNRESOLVED
EM00000004,DOC000001,C000001,9410921380,289,299,PHONE,9410921380,,0.0,UNRESOLVED
EM00000005,DOC000001,C000001,Kothrud,143,150,LOCATION,Kothrud,,0.45,AMBIGUOUS
EM00000006,DOC000002,C000002,Omkar Sharma,46,58,PERSON,Omkar Sharma,P005327,0.99,RESOLVED
EM00000007,DOC000002,C000002,Ritesh Ramesh Desai,143,162,PERSON,Ritesh Ramesh Desai,P002468,0.99,RESOLVED
EM00000008,DOC000002,C000002,MH42SM6343,246,256,VEHICLE,MH42SM6343,,0.0,UNRESOLVED
EM00000009,DOC000002,C000002,9484704908,276,286,PHONE,9484704908,,0.0,UNRESOLVED
EM00000010,DOC000002,C000002,Shivajinagar,118,130,LOCATION,Shivajinagar,,0.45,AMBIGUOUS
EM00000011,DOC000003,C000003,Harsh Kulkarni,44,58,PERSON,Harsh Kulkarni,P006442,0.99,RESOLVED
EM00000012,DOC000003,C000003,Simran Deshmukh,149,164,PERSON,Simran Deshmukh,P001215,0.99,RESOLVED
EM00000013,DOC000003,C000003,MH12IK2764,248,258,VEHICLE,MH12IK2764,,0.0,UNRESOLVED
EM00000014,DOC000003,C000003,9771428981,278,288,PHONE,9771428981,,0.0,UNRESOLVED
EM00000015,DOC000003,C000003,Chinchwad,127,136,LOCATION,Chinchwad,,0.45,AMBIGUOUS
EM00000016,DOC000004,C000004,Shubham Deshmukh,47,63,PERSON,Shubham Deshmukh,P002907,0.99,RESOLVED
EM00000017,DOC000004,C000004,N. Jadhav,157,166,PERSON,N. Jadhav,P004223,0.99,RESOLVED
EM00000018,DOC000004,C000004,MH14IX5062,250,260,VEHICLE,MH14IX5062,,0.0,UNRESOLVED
EM00000019,DOC000004,C000004,9933825562,280,290,PHONE,9933825562,,0.0,UNRESOLVED
EM00000020,DOC000004,C000004,Hadapsar,136,144,LOCATION,Hadapsar,,0.45,AMBIGUOUS
EM00000021,DOC000005,C000005,Tanu Raj Pawar,47,61,PERSON,Tanu Raj Pawar,P006304,0.99,RESOLVED
EM00000022,DOC000005,C000005,Aanya Dilip Jadhav,155,173,PERSON,Aanya Dilip Jadhav,P000976,0.99,RESOLVED
EM00000023,DOC000005,C000005,MH15PU8432,257,267,VEHICLE,MH15PU8432,,0.0,UNRESOLVED
EM00000024,DOC000005,C000005,9733479343,287,297,PHONE,9733479343,,0.0,UNRESOLVED
EM00000025,DOC000005,C000005,Yerawada,134,142,LOCATION,Yerawada,,0.45,AMBIGUOUS
EM00000026,DOC000006,C000006,Kajal S.,46,54,PERSON,Kajal S.,P000722,0.99,RESOLVED
EM00000027,DOC000006,C000006,Tanu K Jadhav,136,149,PERSON,Tanu K Jadhav,P004148,0.99,RESOLVED
EM00000028,DOC000006,C000006,MH15FA4656,233,243,VEHICLE,MH15FA4656,,0.0,UNRESOLVED
EM00000029,DOC000006,C000006,9115664214,263,273,PHONE,9115664214,,0.0,UNRESOLVED
EM00000030,DOC000006,C000006,Chinchwad,114,123,LOCATION,Chinchwad,,0.45,AMBIGUOUS
EM00000031,DOC000007,C000007,Nandini M More,47,61,PERSON,Nandini M More,P004421,0.99,RESOLVED
EM00000032,DOC000007,C000007,Manish Pawar,151,163,PERSON,Manish Pawar,P002859,0.99,RESOLVED
EM00000033,DOC000007,C000007,MH14TW1971,247,257,VEHICLE,MH14TW1971,,0.0,UNRESOLVED
EM00000034,DOC000007,C000007,9565181739,277,287,PHONE,9565181739,,0.0,UNRESOLVED
EM00000035,DOC000007,C000007,Hadapsar,130,138,LOCATION,Hadapsar,,0.45,AMBIGUOUS
EM00000036,DOC000008,C000008,Anjali Ramesh Shinde,48,68,PERSON,Anjali Ramesh Shinde,P004992,0.99,RESOLVED
EM00000037,DOC000008,C000008,Kajal Mane,146,156,PERSON,Kajal Mane,P003868,0.99,RESOLVED
EM00000038,DOC000008,C000008,MH12IC1110,240,250,VEHICLE,MH12IC1110,,0.0,UNRESOLVED
EM00000039,DOC000008,C000008,9567345818,270,280,PHONE,9567345818,,0.0,UNRESOLVED
EM00000040,DOC000008,C000008,Pimpri,127,133,LOCATION,Pimpri,,0.45,AMBIGUOUS
EM00000041,DOC000009,C000009,Siddharth S Pande,49,66,PERSON,Siddharth S Pande,P004566,0.99,RESOLVED
EM00000042,DOC000009,C000009,Riya Thakur,162,173,PERSON,Riya Thakur,P006647,0.99,RESOLVED
EM00000043,DOC000009,C000009,MH42IC9392,257,267,VEHICLE,MH42IC9392,,0.0,UNRESOLVED
EM00000044,DOC000009,C000009,9906457062,287,297,PHONE,9906457062,,0.0,UNRESOLVED
EM00000045,DOC000009,C000009,Kondhwa,142,149,LOCATION,Kondhwa,,0.45,AMBIGUOUS
EM00000046,DOC000010,C000010,Sonali R Naik,45,58,PERSON,Sonali R Naik,P003833,0.99,RESOLVED
EM00000047,DOC000010,C000010,Komal Jadhav,136,148,PERSON,Komal Jadhav,P002020,0.99,RESOLVED
EM00000048,DOC000010,C000010,MH15RO2192,232,242,VEHICLE,MH15RO2192,,0.0,UNRESOLVED
EM00000049,DOC000010,C000010,9440802392,262,272,PHONE,9440802392,,0.0,UNRESOLVED
EM00000050,DOC000010,C000010,Pimpri,117,123,LOCATION,Pimpri,,0.45,AMBIGUOUS
EM00000051,DOC000011,C000011,Neha M Pande,48,60,PERSON,Neha M Pande,P006968,0.99,RESOLVED
EM00000052,DOC000011,C000011,Swapnil J.,157,167,PERSON,Swapnil J.,P004190,0.99,RESOLVED
EM00000053,DOC000011,C000011,MH15OC5489,251,261,VEHICLE,MH15OC5489,,0.0,UNRESOLVED
EM00000054,DOC000011,C000011,9718638262,281,291,PHONE,9718638262,,0.0,UNRESOLVED
EM00000055,DOC000011,C000011,Yerawada,136,144,LOCATION,Yerawada,,0.45,AMBIGUOUS
EM00000056,DOC000012,C000012,Nikhil Bhosale,45,59,PERSON,Nikhil Bhosale,P003410,0.99,RESOLVED
EM00000057,DOC000012,C000012,Aanya D Sawant,155,169,PERSON,Aanya D Sawant,P000807,0.99,RESOLVED
EM00000058,DOC000012,C000012,MH42CQ5451,253,263,VEHICLE,MH42CQ5451,,0.0,UNRESOLVED
EM00000059,DOC000012,C000012,9542855521,283,293,PHONE,9542855521,,0.0,UNRESOLVED
EM00000060,DOC000012,C000012,Yerawada,134,142,LOCATION,Yerawada,,0.45,AMBIGUOUS
EM00000061,DOC000013,C000013,Nikhil Sharma,47,60,PERSON,Nikhil Sharma,P005427,0.99,RESOLVED
EM00000062,DOC000013,C000013,S. Bhosale,149,159,PERSON,S. Bhosale,P003699,0.99,RESOLVED
EM00000063,DOC000013,C000013,MH12KK9135,243,253,VEHICLE,MH12KK9135,,0.0,UNRESOLVED
EM00000064,DOC000013,C000013,9256203680,273,283,PHONE,9256203680,,0.0,UNRESOLVED
EM00000065,DOC000013,C000013,Kothrud,129,136,LOCATION,Kothrud,,0.45,AMBIGUOUS
EM00000066,DOC000014,C000014,Aanya Deshmukh,48,62,PERSON,Aanya Deshmukh,P005526,0.99,RESOLVED
EM00000067,DOC000014,C000014,Abhishek Naik,161,174,PERSON,Abhishek Naik,P000808,0.99,RESOLVED
EM00000068,DOC000014,C000014,MH42HH3561,258,268,VEHICLE,MH42HH3561,,0.0,UNRESOLVED
EM00000069,DOC000014,C000014,9842492156,288,298,PHONE,9842492156,,0.0,UNRESOLVED
EM00000070,DOC000014,C000014,Yerawada,140,148,LOCATION,Yerawada,,0.45,AMBIGUOUS
EM00000071,DOC000015,C000015,Mahi Chavan,48,59,PERSON,Mahi Chavan,P005949,0.99,RESOLVED
EM00000072,DOC000015,C000015,Mrunal Anil Dhumal,149,167,PERSON,Mrunal Anil Dhumal,P005403,0.99,RESOLVED
EM00000073,DOC000015,C000015,MH14FG9906,251,261,VEHICLE,MH14FG9906,,0.0,UNRESOLVED
EM00000074,DOC000015,C000015,9116800720,281,291,PHONE,9116800720,,0.0,UNRESOLVED
EM00000075,DOC000015,C000015,Shivajinagar,124,136,LOCATION,Shivajinagar,,0.45,AMBIGUOUS
EM00000076,DOC000016,C000016,Dhruv D.,48,56,PERSON,Dhruv D.,P002015,0.99,RESOLVED
EM00000077,DOC000016,C000016,Ananya Mane,166,177,PERSON,Ananya Mane,P002478,0.99,RESOLVED
EM00000078,DOC000016,C000016,MH14IU3649,261,271,VEHICLE,MH14IU3649,,0.0,UNRESOLVED
EM00000079,DOC000016,C000016,9828927174,291,301,PHONE,9828927174,,0.0,UNRESOLVED
EM00000080,DOC000016,C000016,Shivajinagar,141,153,LOCATION,Shivajinagar,,0.45,AMBIGUOUS
EM00000081,DOC000017,C000017,Dhruv Pande,46,57,PERSON,Dhruv Pande,P005146,0.99,RESOLVED
EM00000082,DOC000017,C000017,Sneha Joshi,166,177,PERSON,Sneha Joshi,P006033,0.99,RESOLVED
EM00000083,DOC000017,C000017,MH12ZG2919,261,271,VEHICLE,MH12ZG2919,,0.0,UNRESOLVED
EM00000084,DOC000017,C000017,9309191034,291,301,PHONE,9309191034,,0.0,UNRESOLVED
EM00000085,DOC000017,C000017,Kothrud,146,153,LOCATION,Kothrud,,0.45,AMBIGUOUS
