document_id,case_id,document_type,document_date,language,narrative_text,source_officer,document_status,text_quality
DOC000001,C000001,FIR,2019-08-27,English,"On 13 August 2019 at approximately 16:39 hrs, Akash V Kale was reported in connection with a robbery with preparation for hurt incident in the Kothrud area, Pune. Komal R Naik was identified as another person relevant to the inquiry. The record notes vehicle MH12FM4689 and contact number 9410921380 in connection with the reported events. The matter was registered on 20 August 2019 under IPC 393 and assigned to investigating officer IO0281.",IO0281,Draft,0.931
DOC000002,C000002,Investigation Note,2018-09-17,English,"On 25 August 2018 at approximately 12:32 hrs, Omkar Sharma was reported in connection with a cheating incident in the Shivajinagar area, Pune. Ritesh Ramesh Desai was identified as another person relevant to the inquiry. The record notes vehicle MH42SM6343 and contact number 9484704908 in connection with the reported events. The matter was registered on 07 September 2018 under IPC 420 and assigned to investigating officer IO0140.",IO0140,Reviewed,0.928
DOC000003,C000003,FIR,2024-07-01,English,"On 30 June 2024 at approximately 23:52 hrs, Harsh Kulkarni was reported in connection with a theft of property incident in the Chinchwad area, Pune. Simran Deshmukh was identified as another person relevant to the inquiry. The record notes vehicle MH12IK2764 and contact number 9771428981 in connection with the reported events. The matter was registered on 30 June 2024 under IPC 379 and assigned to investigating officer IO0300.",IO0300,Final,0.953
DOC000004,C000004,Statement,2019-02-04,English,"On 21 January 2019 at approximately 08:54 hrs, Shubham Deshmukh was reported in connection with a criminal intimidation incident in the Hadapsar area, Pune. N. Jadhav was identified as another person relevant to the inquiry. The record notes vehicle MH14IX5062 and contact number 9933825562 in connection with the reported events. The matter was registered on 03 February 2019 under IPC 506 and assigned to investigating officer IO0042.",IO0042,Reviewed,0.951
DOC000005,C000005,FIR,2021-01-15,English,"On 03 January 2021 at approximately 21:46 hrs, Tanu Raj Pawar was reported in connection with a using forged document incident in the Yerawada area, Pune. Aanya Dilip Jadhav was identified as another person relevant to the inquiry. The record notes vehicle MH15PU8432 and contact number 9733479343 in connection with the reported events. The matter was registered on 08 January 2021 under IPC 471 and assigned to investigating officer IO0186.",IO0186,Archived,0.972
DOC000006,C000006,FIR,2022-10-05,English,"On 27 August 2022 at approximately 11:44 hrs, Kajal S. was reported in connection with a cheating incident in the Chinchwad area, Pune. Tanu K Jadhav was identified as another person relevant to the inquiry. The record notes vehicle MH15FA4656 and contact number 9115664214 in connection with the reported events. The matter was registered on 05 September 2022 under IPC 420 and assigned to investigating officer IO0275.",IO0275,Final,0.928
DOC000007,C000007,Statement,2018-02-02,English,"On 11 January 2018 at approximately 21:21 hrs, Nandini M More was reported in connection with a theft of property incident in the Hadapsar area, Pune. Manish Pawar was identified as another person relevant to the inquiry. The record notes vehicle MH14TW1971 and contact number 9565181739 in connection with the reported events. The matter was registered on 12 January 2018 under IPC 379 and assigned to investigating officer IO0061.",IO0061,Final,0.933
DOC000008,C000008,Statement,2023-03-02,English,"On 12 February 2023 at approximately 18:12 hrs, Anjali Ramesh Shinde was reported in connection with a robbery incident in the Pimpri area, Pune. Kajal Mane was identified as another person relevant to the inquiry. The record notes vehicle MH12IC1110 and contact number 9567345818 in connection with the reported events. The matter was registered on 25 February 2023 under IPC 392 and assigned to investigating officer IO0295.",IO0295,Reviewed,0.933
DOC000009,C000009,Investigation Note,2021-09-25,English,"On 02 September 2021 at approximately 18:19 hrs, Siddharth S Pande was reported in connection with a voluntarily causing hurt incident in the Kondhwa area, Pune. Riya Thakur was identified as another person relevant to the inquiry. The record notes vehicle MH42IC9392 and contact number 9906457062 in connection with the reported events. The matter was registered on 08 September 2021 under IPC 323 and assigned to investigating officer IO0114.",IO0114,Final,0.954
DOC000010,C000010,Case Summary,2022-05-08,English,"On 21 April 2022 at approximately 17:32 hrs, Sonali R Naik was reported in connection with a robbery incident in the Pimpri area, Pune. Komal Jadhav was identified as another person relevant to the inquiry. The record notes vehicle MH15RO2192 and contact number 9440802392 in connection with the reported events. The matter was registered on 04 May 2022 under IPC 392 and assigned to investigating officer IO0258.",IO0258,Reviewed,0.925
