person_id,full_name,alias_name,gender,date_of_birth,age,nationality,occupation,address,city,district,state,pincode,email,person_status,known_since,source_system,record_confidence,created_at,updated_at
P006582,Vidya R Pande,,Female,1988-09-07,37,Indian,Self Employed,"30, Ring Road, Viman Nagar, Pune",Pune,Pune,Maharashtra,411014,vidyapande@example.test,Accused,2023-02-01,LEGACY_DB,0.824,2025-04-27T08:01:00,2025-06-30T16:08:00
P000514,Vaishnavi Naik,,Female,1977-10-12,48,Indian,Skilled Worker,"230, Main Road, Hadapsar, Pune",Pune,Pune,Maharashtra,411028,,Witness,2022-07-07,FIELD_REPORT,0.802,2023-09-27T16:20:00,2025-01-12T04:35:00
P003286,Mrunal S Kale,,Female,1993-08-07,33,Other,Private Employee,"515, Main Road, Bhosari, Pune",Pune,Pune,Maharashtra,411039,mkale334@example.test,Complainant,2020-12-22,COURT_RECORD,0.908,2026-07-16T02:34:00,2026-07-26T05:22:00
P002745,Nandini Thakur,,Female,1961-07-21,65,Indian,Self Employed,"473, Nagar Road, Baner, Pune",Pune,Pune,Maharashtra,411045,nandini.thakur@example.test,Witness,2022-10-08,CASE_DB,0.894,2024-08-11T12:14:00,2025-04-14T19:28:00
P001905,Tejas Anil Chavan,,Male,1984-11-01,41,Indian,Private Employee,"235, Ring Road, Chinchwad, Pune",Pune,Pune,Maharashtra,411033,tejaschavan@example.test,Witness,2018-04-21,LEGACY_DB,0.824,2020-12-28T17:10:00,2025-07-29T05:51:00
P006171,Aanya Prakash Desai,,Female,1980-11-09,45,Indian,Student,"431, Canal Road, Viman Nagar, Pune",Pune,Pune,Maharashtra,411014,aanya.desai992@example.test,Witness,2014-06-03,IDENTITY_DB,0.922,2025-02-04T06:00:00,2026-08-19T01:44:00
P006127,Harsh Naik,Harsh Sanjay,Male,1992-01-14,34,Indian,Skilled Worker,"576, Canal Road, Viman Nagar, Pune",Pune,Pune,Maharashtra,411014,hnaik339@example.test,Victim,2022-11-18,FIELD_REPORT,0.902,2024-08-06T04:42:00,2026-01-21T17:29:00
P006926,Ananya P Jadhav,,Female,1996-05-12,30,Indian,Self Employed,"947, College Road, Swargate, Pune",Pune,Pune,Maharashtra,411037,ananya.jadhav@example.test,Other,2024-04-01,CASE_DB,0.894,2026-07-30T07:42:00,2026-08-19T19:01:00
P000241,Akash Gaikwad,,Male,1974-02-21,52,Nepalese,Private Employee,"344, Nagar Road, Wakad, Pune",Pune,Pune,Maharashtra,411057,akashgaikwad@example.test,Witness,2015-06-19,FIELD_REPORT,0.852,2026-01-04T17:13:00,2026-01-05T22:26:00
P005264,Aditya Prakash Jadhav,,Male,1993-10-13,32,Indian,Private Employee,"199, Market Road, Dhankawadi, Pune",Pune,Pune,Maharashtra,411043,aditya.jadhav387@example.test,Accused,2022-08-06,FIELD_REPORT,0.852,2023-11-26T02:04:00,2026-08-22T00:37:00
P002900,Tejas Dilip Kadam,,Male,1990-04-12,36,Indian,Student,"543, Station Road, Aundh, Pune",Pune,Pune,Maharashtra,411007,tkadam311@example.test,Victim,2017-08-08,CASE_DB,0.894,2022-05-31T17:35:00,2023-05-19T21:52:00
P000900,Arjun Pawar,,Male,1966-08-19,60,Indian,Retired,"73, Station Road, Shivajinagar, Pune",Pune,Pune,Maharashtra,411005,arjun.pawar@example.test,Victim,2025-07-24,COURT_RECORD,0.908,2026-08-16T15:06:00,2026-08-22T18:26:00
P002007,Mrunal Chavan,,Female,1974-06-20,52,Indian,Business Owner,"882, Main Road, Aundh, Pune",Pune,Pune,Maharashtra,411007,mrunalchavan@example.test,Witness,2021-06-09,LEGACY_DB,0.824,2024-11-18T01:50:00,2026-05-10T06:08:00
