phone_id,phone_number,country_code,carrier,circle,activation_date,deactivation_date,phone_status,registered_person_id,source
PH000001,9187917278,+91,Carrier_A,Maharashtra,2019-05-15,,Active,P004042,SYNTH_TELECOM_DB
PH000002,9967218811,+91,Carrier_A,Maharashtra,2010-04-01,,Active,P000226,SYNTH_TELECOM_DB
PH000003,9391612582,+91,Carrier_C,Maharashtra,2024-01-07,,Active,P003746,SYNTH_CDR_DB
PH000004,9758115356,+91,Carrier_B,Maharashtra,2026-02-02,,Active,P000533,SYNTH_CDR_DB
PH000005,9482830320,+91,Carrier_C,Maharashtra,2013-11-11,,Active,P000998,SYNTH_LEGACY_DB
PH000006,9906572727,+91,Carrier_A,Maharashtra,2019-03-25,,Active,P001405,SYNTH_IDENTITY_DB
PH000007,9778674413,+91,Carrier_C,Maharashtra,2024-10-26,,Active,P004662,SYNTH_IDENTITY_DB
PH000008,9629011384,+91,Carrier_D,Maharashtra,2023-04-22,,Active,P003757,SYNTH_LEGACY_DB
PH000009,9118145212,+91,Carrier_A,Maharashtra,2013-07-01,,Active,P004318,SYNTH_CDR_DB
PH000010,9513563226,+91,Carrier_C,Maharashtra,2016-08-03,,Active,P001630,SYNTH_TELECOM_DB
PH000011,9512765516,+91,Carrier_A,Maharashtra,2022-06-08,,Active,P001221,SYNTH_TELECOM_DB
PH000012,9928515003,+91,Carrier_A,Maharashtra,2024-01-01,2026-08-29,Inactive,P005856,SYNTH_TELECOM_DB
PH000013,9153431292,+91,Carrier_B,Maharashtra,2010-03-24,,Active,P005275,SYNTH_IDENTITY_DB
PH000014,9488971198,+91,Carrier_B,Maharashtra,2023-12-31,2026-01-06,Suspended,P001627,SYNTH_TELECOM_DB
PH000015,9360190996,+91,Carrier_B,Maharashtra,2017-05-22,,Active,P005344,SYNTH_TELECOM_DB
PH000016,9124375162,+91,Carrier_B,Maharashtra,2021-01-28,,Active,P001073,SYNTH_TELECOM_DB
PH000017,9330217630,+91,Carrier_C,Maharashtra,2012-02-18,,Active,P005253,SYNTH_IDENTITY_DB
PH000018,9521138305,+91,Carrier_C,Maharashtra,2025-07-13,,Active,P000077,SYNTH_TELECOM_DB
PH000019,9397855668,+91,Carrier_B,Maharashtra,2018-09-21,,Active,P000216,SYNTH_TELECOM_DB
PH000020,9132282713,+91,Carrier_A,Maharashtra,2013-08-27,,Active,P006779,SYNTH_CDR_DB
PH000021,9570199859,+91,Carrier_D,Maharashtra,2015-04-02,,Active,P005411,SYNTH_TELECOM_DB
PH000022,9101171657,+91,Carrier_C,Maharashtra,2021-09-02,,Active,P002034,SYNTH_CDR_DB
PH000023,9350146208,+91,Carrier_D,Maharashtra,2024-08-13,2025-05-02,Inactive,P002566,SYNTH_TELECOM_DB
PH000024,9767077525,+91,Carrier_C,Maharashtra,2011-05-22,,Active,P004423,SYNTH_CDR_DB
PH000025,9665111485,+91,Carrier_C,Maharashtra,2017-01-21,2019-04-30,Suspended,P002390,SYNTH_TELECOM_DB
PH000026,9898769251,+91,Carrier_D,Maharashtra,2026-01-31,2026-08-29,Inactive,P003719,SYNTH_CDR_DB
PH000027,9189427994,+91,Carrier_B,Maharashtra,2015-07-09,2016-04-19,Inactive,P004521,SYNTH_CDR_DB
PH000028,9452000244,+91,Carrier_A,Maharashtra,2022-06-03,,Active,P006138,SYNTH_TELECOM_DB
PH000029,9760082567,+91,Carrier_C,Maharashtra,2025-01-12,,Active,P000871,SYNTH_TELECOM_DB
PH000030,9816431415,+91,Carrier_A,Maharashtra,2012-03-25,2018-05-01,Inactive,P006278,SYNTH_IDENTITY_DB
PH000031,9241377014,+91,Carrier_C,Maharashtra,2011-11-06,,Active,P005823,SYNTH_TELECOM_DB
PH000032,9706828361,+91,Carrier_C,Maharashtra,2024-01-24,2026-08-29,Reassigned,P001543,SYNTH_TELECOM_DB
PH000033,9324217042,+91,Carrier_A,Maharashtra,2018-07-24,,Active,P002762,SYNTH_TELECOM_DB
PH000034,9693826015,+91,Carrier_A,Maharashtra,2011-02-04,,Active,P000627,SYNTH_TELECOM_DB
PH000035,9112624917,+91,Carrier_C,Maharashtra,2015-12-10,,Active,P002296,SYNTH_IDENTITY_DB
PH000036,9353494038,+91,Carrier_C,Maharashtra,2020-11-07,,Active,P005527,SYNTH_IDENTITY_DB
PH000037,9669133540,+91,Carrier_C,Maharashtra,2024-10-16,,Active,P001738,SYNTH_IDENTITY_DB
PH000038,9720600934,+91,Carrier_B,Maharashtra,2012-05-30,,Active,P001896,SYNTH_TELECOM_DB
PH000039,9251485483,+91,Carrier_B,Maharashtra,2021-09-01,,Active,P000108,SYNTH_IDENTITY_DB
PH000040,9846035305,+91,Carrier_C,Maharashtra,2021-01-15,,Active,P002931,SYNTH_TELECOM_DB
PH000041,9124582467,+91,Carrier_B,Maharashtra,2015-09-24,,Active,P004335,SYNTH_TELECOM_DB
PH000042,9636431111,+91,Carrier_B,Maharashtra,2023-04-25,2025-02-21,Suspended,P000301,SYNTH_TELECOM_DB
PH000043,9874927535,+91,Carrier_A,Maharashtra,2018-03-18,,Active,P006002,SYNTH_LEGACY_DB
PH000044,9406220809,+91,Carrier_D,Maharashtra,2022-03-25,,Active,P001626,SYNTH_IDENTITY_DB
PH000045,9462454915,+91,Carrier_B,Maharashtra,2021-12-06,2023-12-16,Inactive,P006660,SYNTH_TELECOM_DB
PH000046,9834383436,+91,Carrier_B,Maharashtra,2013-11-28,2015-03-10,Inactive,P002084,SYNTH_CDR_DB
